RiskPerformance;ExternalRiskEstimate;NetFractionRevolvingBurden;AverageMInFile;MSinceOldestTradeOpen;PercentTradesWBalance;PercentInstallTrades;NumSatisfactoryTrades;NumTotalTrades;PercentTradesNeverDelq;MSinceMostRecentInqexcl7days
1;91;0;209;;0;43;6;7;100;0
0;73;34;89;;64;21;19;19;89;0
0;78;22;63;;60;40;35;40;93;0
1;65;49;37;;67;38;20;21;95;0
1;75;17;38;;100;78;8;9;100;0
0;84;33;109;;100;50;8;8;100;0
0;75;17;94;;61;35;39;40;98;0
0;60;28;141;;100;50;9;13;67;0
0;68;85;54;;100;65;29;31;87;0
1;67;59;44;;83;33;15;16;93;0
1;71;37;73;;80;4;22;25;96;0
1;50;32;91;;67;32;23;28;82;0
1;62;40;99;;100;80;5;6;80;0
1;70;78;75;333;67;30;16;20;100;0
1;58;81;79;307;86;53;14;15;73;0
0;88;17;82;188;50;40;20;20;100;0
1;65;80;48;107;70;42;40;43;100;0
1;74;37;78;169;75;37;26;27;96;0
1;78;22;95;282;43;13;23;24;100;0
0;74;44;110;378;69;57;41;42;98;0
0;77;46;103;311;69;36;39;42;98;0
1;67;63;79;299;94;37;25;27;89;0
;56;83;32;76;100;17;11;14;92;0
;80;4;106;233;86;37;28;30;97;2
;70;16;73;252;63;67;20;24;88;2
;57;12;72;246;89;73;34;40;88;2
;77;26;55;154;86;63;31;32;100;2
;65;81;24;37;88;27;11;11;100;3
;67;66;46;97;88;33;8;9;100;0
;73;54;77;136;100;36;25;25;100;0
;73;40;113;190;68;23;27;30;100;7
;77;41;93;221;75;36;46;51;100;17
;61;97;118;190;100;50;34;34;82;19
;86;3;135;242;43;36;14;14;100;1
;66;66;36;132;96;26;34;34;100;10
;64;48;108;178;62;36;33;33;85;0
;79;18;100;245;71;43;35;37;100;4
;76;42;84;159;75;71;21;21;95;3
;81;25;128;244;90;41;54;56;98;0
;85;1;120;241;50;39;36;36;100;2
;75;85;69;160;83;42;12;12;100;2
;72;40;65;132;73;42;25;26;100;2
;71;43;68;179;76;21;32;33;97;1
;65;75;190;256;88;52;23;27;85;5
;55;80;65;139;79;27;51;51;98;0
;50;42;99;222;69;38;24;26;81;3
;70;69;69;218;100;62;24;33;88;0
;55;44;65;156;92;36;59;59;98;1
;69;6;57;82;75;71;15;21;67;5
;62;67;93;247;100;24;29;29;90;16
;87;3;67;112;44;55;22;22;100;5
;65;17;64;129;67;34;30;32;78;0
;66;58;33;93;63;33;23;24;100;0
;81;19;93;212;35;16;37;44;100;2
;65;11;74;321;56;45;27;31;68;0
;65;13;55;338;31;33;24;24;83;0
;85;11;87;195;73;38;28;29;100;0
;67;18;58;145;79;56;31;32;94;3
;92;11;120;352;60;35;14;17;100;4
;66;83;123;205;100;40;5;5;100;4
;62;13;59;135;100;81;15;16;81;0
;62;13;79;433;100;85;31;39;92;0
;69;16;56;175;73;55;17;20;90;1
;83;5;151;344;33;40;10;10;90;19
;57;93;67;140;100;50;8;10;80;3
;66;45;125;307;65;48;38;49;79;4
;66;80;145;502;83;27;34;37;97;4
;64;52;94;277;82;54;26;28;71;5
;81;29;104;334;86;68;18;19;100;9
;63;38;85;307;50;24;35;38;95;0
;66;105;77;133;100;42;23;26;100;0
;61;56;145;338;78;27;32;33;88;12
;85;12;74;182;86;50;10;10;100;18
;72;34;57;145;73;74;45;72;100;7
;85;17;72;267;75;25;8;8;100;17
;78;6;106;340;56;56;25;25;96;4
;86;26;112;439;83;57;18;21;100;1
;70;39;67;139;100;57;19;23;83;5
;62;32;124;295;57;39;55;57;95;5
;82;25;103;286;89;47;16;17;100;6
;75;34;117;311;45;42;40;45;100;0
;66;80;40;111;88;33;9;9;100;1
;93;0;174;399;0;0;5;5;100;2
;67;44;48;85;75;61;17;18;89;4
;64;29;52;103;58;38;22;24;88;1
;67;91;38;90;75;57;7;7;100;5
;81;8;54;99;67;25;35;36;100;0
;84;20;85;288;38;38;11;13;100;17
;88;0;93;209;29;53;19;19;100;5
;82;33;92;163;100;17;12;12;100;18
;60;16;73;281;68;28;35;40;78;0
;60;0;67;164;63;58;18;24;67;0
;75;3;90;407;59;16;27;31;94;0
;59;48;74;191;83;33;38;40;93;1
;75;41;74;180;80;44;35;36;100;0
;73;25;65;116;62;39;23;23;100;1
;87;10;71;126;67;38;21;22;100;13
;90;2;96;244;20;42;31;31;100;0
;63;53;42;69;89;15;13;13;100;0
;89;2;106;363;64;29;21;24;100;0
;82;12;82;154;44;42;35;36;100;0
;76;13;68;170;67;34;32;35;97;1
;75;47;101;325;89;63;23;24;96;6
;76;31;87;220;60;55;31;31;94;5
;65;83;70;145;79;30;40;43;100;1
;65;9;142;293;62;50;20;24;38;3
;92;1;258;474;50;0;8;8;100;2
;66;19;69;234;57;25;54;60;98;0
;64;34;87;432;71;35;34;35;97;0
;63;57;67;130;67;34;25;29;86;0
;61;89;74;251;100;13;15;15;93;0
;76;17;77;280;50;40;25;25;100;0
;60;56;34;125;67;15;26;26;96;0
;89;10;108;408;55;20;28;30;100;0
;85;4;96;271;25;19;26;26;100;0
;58;68;144;274;100;36;9;11;64;0
;64;57;73;162;100;33;4;7;67;0
;81;25;74;306;80;11;16;18;100;0
;56;43;37;82;73;57;29;30;93;0
;55;100;56;99;100;65;35;40;92;0
;51;94;93;232;83;38;13;16;69;0
;68;59;51;130;75;53;30;36;97;0
;55;66;83;147;89;29;12;15;86;0
;87;3;120;336;47;14;35;35;100;0
;68;64;106;264;90;46;22;26;88;0
;70;35;69;233;59;33;31;33;97;0
;75;60;60;254;80;44;9;9;100;0
;70;50;67;321;90;53;13;17;82;0
;77;41;75;165;43;20;20;20;95;0
;73;35;72;232;73;42;19;19;95;0
;60;37;126;273;95;11;32;35;89;0
;77;16;85;324;59;38;26;26;100;0
;80;36;105;220;58;41;32;32;100;0
;82;2;60;161;29;23;41;44;100;0
;83;38;70;176;80;50;8;8;100;0
;65;66;114;321;88;32;27;28;82;0
;77;17;73;140;67;53;15;17;88;0
;66;55;138;409;80;25;18;20;85;0
;84;4;104;191;75;58;11;12;100;0
;59;70;50;152;100;41;23;29;79;0
;66;80;125;253;60;27;8;11;64;0
;63;33;159;234;33;14;8;14;43;0
;73;50;67;250;69;49;42;47;100;0
;77;19;71;173;50;31;39;42;100;0
;79;10;38;81;50;20;10;10;100;0
;64;58;71;164;67;38;25;26;92;0
;67;68;108;282;80;43;37;40;95;0
;80;16;82;290;78;60;14;15;87;0
;74;5;90;279;47;18;31;33;97;0
;70;83;64;196;100;37;34;35;100;0
;69;66;76;184;57;27;9;11;82;0
;73;42;49;94;56;36;21;22;95;0
;66;33;21;74;73;23;13;13;92;0
;73;45;88;219;89;46;23;24;100;0
;80;7;72;198;50;24;25;25;100;0
;58;69;57;175;78;53;45;47;96;0
;88;1;114;369;36;33;31;33;100;0
;64;42;54;159;86;52;20;27;89;0
;62;68;84;174;85;32;35;38;89;0
;73;40;96;144;85;8;13;13;85;0
;86;22;95;266;43;15;12;13;100;0
;66;24;183;375;100;52;21;23;83;0
;69;25;62;338;45;35;22;23;96;0
;58;62;66;118;90;30;14;20;75;0
;75;39;102;255;53;13;30;32;100;0
;75;48;118;291;83;41;15;17;94;0
;70;31;69;288;39;20;30;30;100;0
;83;2;35;122;50;36;11;11;100;0
;72;73;39;72;100;28;18;18;100;0
;84;4;119;294;76;68;44;47;100;0
;68;95;69;220;100;44;27;27;100;0
;76;42;107;269;75;31;32;32;97;0
;82;0;88;133;50;44;9;9;100;0
;62;120;17;21;75;50;4;4;100;0
;79;20;64;106;50;38;16;16;100;0
;77;69;76;191;63;35;20;20;100;0
;82;3;57;247;45;28;46;46;98;0
;64;69;49;120;78;44;15;16;88;0
;68;75;96;343;71;37;40;43;90;0
;57;100;57;123;100;29;5;8;71;0
;75;56;41;78;100;67;6;6;100;0
;84;0;80;149;67;85;13;13;100;0
;73;68;65;123;71;38;24;24;100;0
;80;6;58;162;64;60;41;42;98;0
;61;10;70;115;56;21;16;19;74;0
;79;15;93;244;86;18;8;11;82;0
;89;7;140;353;36;11;19;19;100;0
;76;16;47;128;64;22;32;32;100;0
;64;9;45;150;56;21;12;14;86;0
;72;30;84;221;70;23;22;26;81;0
;58;45;22;39;88;8;12;12;83;0
;59;49;37;192;78;59;17;18;88;0
;62;29;99;282;45;26;24;31;70;0
;87;9;63;208;56;26;42;42;100;0
;52;41;62;132;80;32;21;22;86;0
;61;0;84;197;50;58;18;24;63;0
;82;36;108;295;40;39;18;18;100;0
;88;2;90;164;36;32;19;19;100;0
;64;61;22;51;100;25;15;24;100;0
;89;4;79;351;83;58;12;12;100;0
;83;12;86;203;63;47;17;17;100;0
;81;0;83;152;67;88;8;8;100;0
;60;26;97;168;80;25;3;11;25;0
;66;18;61;176;58;33;24;24;92;0
;70;58;75;206;60;28;17;18;100;0
;69;58;66;124;86;60;20;20;95;0
;65;60;42;106;83;31;11;13;92;0
;60;61;94;141;100;27;13;15;73;0
;76;76;100;208;83;45;22;22;100;0
;72;49;66;141;33;25;10;12;83;0
;69;97;62;165;100;58;12;12;92;0
;58;44;65;162;78;33;21;22;100;0
;64;51;109;345;64;42;31;36;92;0
;82;3;87;340;44;27;45;49;100;0
;67;30;19;37;65;6;18;18;100;0
;66;94;73;190;100;59;25;35;88;0
;63;52;54;115;88;50;20;24;91;0
;76;40;89;182;50;27;41;44;100;0
;81;3;63;155;50;28;18;19;100;0
;57;40;42;155;50;18;32;34;97;0
;58;95;66;184;100;44;39;57;85;0
;78;23;98;174;75;55;18;20;95;0
;62;26;52;185;100;65;14;17;76;0
;72;6;57;188;65;56;36;36;97;0
;80;0;110;483;44;31;28;29;90;0
;74;1;68;155;36;26;18;23;91;0
;63;34;76;170;57;44;53;62;94;0
;57;47;66;162;82;40;25;31;80;0
;61;92;5;8;100;50;1;2;100;0
;69;41;61;190;75;30;23;23;96;0
;64;120;38;88;100;75;3;4;75;0
;55;96;53;142;78;42;21;24;75;0
;78;42;71;297;40;14;21;22;95;0
;61;30;50;222;75;9;8;11;82;0
;52;25;86;195;71;67;12;19;61;0
;76;12;64;104;60;42;11;12;92;0
;82;10;89;292;29;32;33;37;100;0
;81;1;111;329;67;55;19;20;95;0
;71;23;52;141;75;33;19;21;95;0
;71;38;91;324;62;8;55;59;93;0
;88;0;75;152;50;11;16;18;100;0
;87;2;96;321;38;10;40;41;100;0
;66;112;84;175;80;29;6;7;57;0
;61;39;53;105;64;36;44;45;89;0
;82;18;71;163;55;29;25;28;100;0
;85;1;65;162;30;26;24;27;100;0
;72;17;47;69;71;11;17;18;89;0
;68;44;99;253;63;28;36;40;85;0
;68;68;60;117;100;42;31;31;100;0
;67;74;43;79;100;36;12;14;93;0
;66;1;70;198;39;50;37;40;78;0
;68;44;89;248;85;36;25;29;93;0
;65;51;78;166;83;56;16;18;78;0
;80;10;69;154;55;27;39;41;98;0
;60;4;155;429;71;25;13;16;94;0
;65;2;90;227;47;44;24;29;100;0
;66;93;42;157;100;25;16;16;100;0
;77;0;72;330;43;56;16;16;100;0
;67;44;30;92;82;29;14;14;100;0
;80;22;62;234;38;26;27;35;100;0
;75;2;91;422;57;33;55;57;100;0
;73;43;58;188;62;40;23;25;100;0
;84;17;91;411;100;36;10;11;100;0
;75;15;43;221;27;5;58;59;100;0
;73;81;38;85;50;50;10;10;100;0
;65;39;46;87;40;16;18;20;100;0
;70;93;90;213;100;39;36;36;97;0
;65;70;93;305;88;33;25;28;85;0
;91;1;132;428;80;25;9;12;100;0
;89;2;122;270;57;33;14;15;100;0
;73;21;88;190;63;39;28;28;89;0
;68;73;96;310;71;26;33;34;97;0
;71;34;46;83;71;14;22;22;95;0
;86;6;93;333;44;22;32;32;100;0
;74;28;126;340;74;29;49;51;96;0
;69;30;46;80;75;50;6;9;75;0
;86;7;49;130;50;24;17;17;100;0
;86;7;77;166;33;40;9;10;100;0
;64;34;130;460;67;9;23;23;96;0
;77;59;66;126;91;41;55;58;100;0
;73;81;70;107;83;86;20;21;95;0
;74;16;68;202;46;30;27;27;93;0
;62;73;47;80;91;48;24;25;96;0
;67;27;43;69;60;60;6;10;50;0
;70;49;51;112;83;36;27;28;96;0
;58;82;62;80;100;50;11;13;83;0
;86;1;83;199;33;37;17;19;100;0
;63;37;94;380;78;50;20;20;100;0
;56;69;98;239;100;25;12;12;75;0
;61;40;86;282;55;14;40;42;95;0
;66;61;69;244;80;59;15;18;94;0
;88;9;158;393;50;13;15;16;100;0
;59;20;55;128;71;25;11;12;75;0
;80;20;72;262;38;17;22;24;100;0
;85;1;78;141;50;27;10;12;91;0
;57;86;53;153;71;18;17;17;88;0
;74;28;93;197;40;26;31;35;86;0
;54;28;116;316;50;14;16;21;57;0
;83;10;128;296;50;38;8;8;100;0
;60;22;66;141;50;35;12;18;59;0
;63;74;74;132;75;43;12;14;86;0
;69;48;20;51;100;43;6;9;86;0
;66;37;101;189;100;29;16;22;71;0
;77;51;84;292;78;70;20;20;100;0
;63;72;54;112;91;37;17;19;89;0
;65;72;63;111;90;64;23;25;92;0
;67;36;40;126;50;30;9;11;100;0
;71;82;74;200;91;56;35;39;97;0
;66;0;40;59;67;71;7;7;86;0
;67;79;103;250;75;35;26;26;88;0
;66;46;38;187;92;36;18;22;95;0
;56;104;54;91;100;55;4;11;27;0
;55;56;113;152;57;22;13;23;65;0
;73;30;83;188;67;27;18;22;95;0
;70;64;21;43;88;38;11;13;100;0
;66;33;82;202;63;17;23;26;96;0
;68;22;32;86;57;25;26;28;100;0
;70;0;108;206;80;66;30;34;97;0
;72;58;44;78;86;15;12;13;92;0
;66;89;75;138;100;46;42;46;100;0
;64;65;48;150;73;61;23;23;96;0
;67;70;60;144;83;25;18;20;95;0
;67;39;36;83;80;44;30;32;97;0
;73;47;108;201;89;21;13;14;93;0
;58;0;49;108;83;71;11;14;57;0
;84;1;40;73;100;67;6;6;100;0
;89;10;137;344;63;25;19;20;100;0
;54;65;93;336;75;33;17;18;89;0
;70;39;22;37;67;11;9;9;100;0
;60;92;53;264;86;40;10;12;100;0
;74;31;51;156;83;47;14;15;100;0
;67;30;104;255;39;21;41;48;88;0
;72;2;59;290;58;35;21;26;92;0
;70;94;108;315;100;30;7;10;80;0
;76;25;50;111;63;45;20;22;95;0
;62;78;104;265;78;44;28;40;67;0
;75;56;155;351;60;16;25;25;100;0
;57;53;32;71;87;46;24;24;92;0
;66;100;43;205;100;64;10;11;100;0
;69;32;34;73;86;44;9;9;100;9
;72;48;90;195;69;14;22;22;100;8
;65;75;59;193;50;0;6;7;100;1
;86;5;98;205;40;10;30;31;100;8
;68;65;68;210;67;31;25;26;100;3
;90;1;84;230;44;57;26;28;100;9
;83;14;100;256;56;26;31;34;100;21
;89;0;136;222;17;36;20;22;100;20
;62;75;60;98;56;32;24;25;84;7
;63;86;89;173;78;3;36;36;97;0
;80;19;92;250;45;17;40;42;100;0
;80;51;79;220;69;41;25;29;100;16
;84;44;92;166;80;40;10;10;100;6
;64;50;44;90;93;38;31;34;100;6
;76;51;108;210;84;56;57;61;100;0
;79;7;75;121;44;58;22;24;96;19
;66;39;63;128;77;40;48;55;93;1
;84;19;107;325;70;29;13;14;100;1
;60;92;33;80;100;43;6;7;71;6
;76;13;115;432;63;21;24;24;96;0
;56;9;24;44;33;29;12;17;88;0
;68;85;70;177;100;60;32;46;97;1
;81;3;93;161;50;50;22;24;96;5
;70;52;56;142;67;37;17;19;89;2
;57;81;75;192;90;41;35;37;89;5
;84;10;66;166;88;28;27;29;100;2
;83;28;89;182;20;13;8;8;100;0
;71;55;74;172;89;16;18;19;95;4
;66;99;77;188;100;25;7;8;75;5
;67;0;128;226;50;50;4;6;83;0
;81;79;91;194;100;41;17;17;100;3
;80;19;58;158;50;19;25;26;100;13
;65;59;79;192;90;26;22;27;78;8
;72;0;68;242;50;73;15;16;87;7
;83;32;213;241;75;26;26;27;100;5
;86;1;90;255;42;46;25;26;96;8
;68;14;15;27;67;31;12;13;100;0
;80;35;83;186;50;23;29;30;100;11
;86;4;109;348;86;40;20;20;100;8
;75;3;79;258;45;29;21;24;96;2
;88;0;84;166;25;17;12;12;100;13
;89;6;119;431;54;43;23;23;100;12
;65;63;68;206;100;39;30;68;97;1
;78;90;108;221;80;40;13;15;100;3
;83;28;60;107;80;42;24;24;100;3
;60;26;52;123;50;33;13;15;73;6
;66;37;24;43;58;33;21;21;100;0
;67;26;72;109;67;13;8;8;75;4
;67;81;84;199;86;33;24;24;100;0
;88;2;127;422;38;17;23;24;100;0
;87;7;91;178;44;29;22;24;100;2
;64;84;45;146;100;10;19;20;95;2
;81;0;163;232;50;36;13;14;93;23
;68;6;74;172;25;28;23;28;92;2
;84;5;82;212;67;47;13;15;87;10
;64;54;70;199;57;53;32;34;91;11
;62;67;49;104;60;26;21;24;100;1
;77;2;80;215;33;11;17;18;89;0
;54;58;99;266;69;43;54;56;96;2
;86;5;68;168;36;30;32;47;100;4
;60;36;74;73;29;30;10;10;50;8
;88;1;87;170;67;29;14;15;100;2
;87;3;103;441;33;48;22;23;100;3
;78;32;46;95;67;44;30;32;100;7
;72;50;57;179;73;42;30;31;100;2
;93;0;121;280;33;50;6;6;100;13
;79;7;74;202;58;13;29;30;93;0
;58;62;62;247;89;34;30;32;94;9
;64;35;91;281;41;32;54;60;93;4
;76;17;83;217;81;22;23;26;100;11
;72;93;82;262;92;35;32;34;100;2
;80;9;32;70;43;36;13;14;93;4
;57;102;75;321;100;17;11;12;75;1
;72;39;76;172;100;20;5;5;100;2
;85;1;81;140;50;38;12;13;92;12
;73;9;74;200;82;66;70;71;99;1
;80;13;76;347;71;54;24;26;100;10
;55;100;26;37;100;67;2;3;67;2
;61;84;60;106;67;43;6;7;86;5
;77;9;61;126;63;12;25;25;92;7
;45;62;98;265;65;25;50;51;86;11
;55;100;45;93;100;58;32;33;94;7
;75;76;93;262;100;62;12;13;100;0
;76;59;66;171;75;33;6;6;100;0
;64;86;65;109;100;50;9;10;90;12
;60;42;99;146;80;13;16;16;81;10
;86;31;82;160;50;20;15;15;100;0
;64;92;80;212;91;17;17;18;100;0
;86;0;60;143;0;7;15;16;100;4
;64;63;62;231;56;23;28;30;97;1
;72;90;52;140;82;27;22;22;100;9
;86;7;122;342;100;14;7;7;100;0
;84;8;89;199;30;17;18;18;94;5
;61;0;15;35;75;71;15;17;100;2
;79;5;117;390;36;23;28;31;97;3
;78;2;25;84;20;15;11;13;92;2
;57;84;38;130;82;27;15;15;80;13
;75;14;30;127;86;24;17;17;100;1
;58;86;101;163;67;29;20;24;71;2
;68;50;51;116;64;24;20;21;100;0
;84;22;86;305;47;35;45;46;100;0
;82;32;80;190;50;21;28;28;100;17
;84;14;56;163;46;17;36;36;100;12
;85;4;98;241;45;39;22;23;96;3
;75;58;89;184;100;71;12;17;100;10
;57;59;73;183;82;29;24;24;79;1
;83;6;104;272;25;18;10;12;91;17
;68;50;31;60;88;42;11;12;92;0
;89;12;111;384;33;30;31;33;100;3
;57;81;90;156;88;16;39;45;91;15
;76;17;106;397;50;13;22;23;91;9
;62;62;100;307;71;16;31;32;97;8
;81;34;42;120;67;25;12;12;100;3
;74;42;71;218;77;38;24;24;100;8
;70;48;50;78;78;46;23;24;96;3
;79;25;68;231;25;9;22;22;100;10
;78;11;32;50;75;60;5;5;100;0
;71;95;85;206;70;34;34;35;100;0
;85;7;56;151;60;25;20;21;100;17
;79;25;61;137;40;36;31;33;97;1
;62;3;42;102;80;73;8;11;73;17
;79;4;126;444;63;45;19;22;95;2
;76;82;68;205;90;41;19;22;95;1
;78;42;99;395;45;14;20;22;100;2
;89;0;118;233;33;33;35;36;100;15
;70;20;48;82;45;16;17;19;95;0
;70;16;69;183;80;42;20;24;79;3
;72;59;83;210;88;43;14;15;93;0
;83;13;80;187;50;33;29;30;100;12
;77;24;74;180;44;48;26;27;100;13
;90;0;102;414;33;36;22;22;100;8
;67;30;52;134;64;25;23;25;92;0
;73;70;54;166;94;69;21;26;100;0
;70;65;86;218;68;52;59;61;100;1
;85;0;102;207;67;29;21;21;100;8
;62;92;93;262;100;35;36;37;100;19
;55;0;97;134;33;50;5;6;67;1
;88;7;110;300;50;42;19;19;100;11
;52;52;103;266;82;33;18;23;76;7
;70;61;70;144;83;51;34;35;100;2
;87;14;127;348;50;27;26;26;100;0
;86;5;115;279;20;13;16;16;94;0
;86;13;74;153;33;41;16;17;100;21
;85;4;104;349;50;43;35;38;100;0
;73;20;48;106;40;30;19;20;95;1
;60;30;60;306;56;21;25;35;100;0
;66;54;41;75;71;32;24;25;100;4
;81;30;75;213;62;35;40;40;100;3
;72;62;91;262;67;18;45;51;98;0
;80;1;47;153;45;55;31;34;100;2
;82;2;87;194;44;21;33;34;97;10
;77;53;70;206;62;31;33;36;100;4
;70;69;23;49;88;44;9;9;100;7
;74;66;83;148;92;57;22;23;100;1
;75;37;78;163;55;35;27;31;100;23
;68;52;100;332;64;38;22;24;100;16
;73;49;47;140;75;33;12;12;92;5
;90;1;116;429;11;20;15;16;100;3
;69;53;43;142;100;87;12;15;93;5
;72;85;60;255;79;22;31;32;100;13
;79;40;105;289;44;29;48;51;100;0
;89;8;79;203;33;53;28;34;97;20
;82;2;92;228;68;34;24;29;100;1
;49;89;119;259;86;11;7;9;67;11
;66;65;68;147;87;43;37;42;90;1
;68;1;78;170;57;19;49;54;100;12
;84;5;73;144;29;0;15;16;100;3
;79;22;106;243;82;53;19;19;95;3
;73;38;85;374;70;26;27;27;96;0
;79;43;98;257;70;30;18;20;100;3
;90;4;102;196;33;0;14;14;100;14
;69;69;118;276;67;17;33;35;97;3
;75;44;50;188;82;50;18;19;100;4
;74;19;90;219;75;33;42;49;96;1
;82;18;98;212;47;28;29;29;100;3
;74;23;101;310;71;67;8;9;89;13
;86;4;94;290;60;56;25;27;100;7
;57;63;83;224;88;47;25;34;62;5
;70;62;74;207;67;13;22;23;100;0
;89;3;69;200;75;28;15;18;100;0
;70;46;81;195;63;32;31;35;100;0
;78;9;86;380;67;41;17;17;94;8
;72;47;60;135;74;7;29;29;100;11
;79;30;72;178;29;9;11;11;100;0
;84;9;84;131;100;36;22;22;100;19
;67;0;106;240;40;31;11;13;92;2
;87;3;79;165;33;20;14;15;100;4
;63;42;52;224;73;29;28;28;96;6
;87;3;117;390;44;42;25;26;100;0
;90;1;158;484;30;20;18;20;100;0
;80;34;146;335;65;18;28;28;100;14
;88;3;93;320;36;22;52;55;100;6
;90;11;98;245;80;63;7;8;100;21
;79;6;90;200;60;29;33;38;97;23
;75;9;85;183;50;50;29;32;97;2
;84;3;149;307;42;20;29;46;100;6
;70;31;98;300;59;27;62;64;98;0
;64;74;20;37;75;60;5;5;100;5
;71;31;53;145;39;33;33;33;100;0
;80;6;32;172;38;33;38;39;100;0
;63;85;74;207;57;13;45;46;100;7
;80;32;73;175;88;53;15;17;100;11
;73;28;77;195;77;47;29;34;94;8
;61;57;86;271;92;56;26;27;89;0
;83;18;90;265;75;18;17;17;100;4
;74;3;50;88;38;33;18;19;83;3
;75;79;60;135;100;43;12;14;93;7
;84;1;126;374;36;31;30;32;100;0
;77;15;105;265;59;38;50;58;98;12
;66;45;97;308;83;32;35;42;88;3
;60;33;72;153;71;31;14;16;56;8
;70;20;57;150;56;16;26;31;97;1
;78;7;69;179;63;44;32;32;100;3
;68;92;41;110;71;25;32;32;100;0
;74;26;44;89;62;33;24;24;100;7
;82;1;131;220;50;20;15;15;87;4
;76;29;63;317;70;9;20;22;91;3
;68;50;49;132;88;50;16;16;94;0
;76;11;125;404;50;10;27;29;97;4
;81;55;240;419;50;8;13;13;100;11
;72;9;92;255;53;17;41;42;98;0
;88;8;92;185;63;50;28;28;100;16
;84;18;82;232;60;33;43;46;100;11
;63;57;14;27;80;50;5;6;100;1
;66;34;95;283;57;38;16;16;75;3
;68;61;127;343;63;15;13;13;100;2
;71;11;56;106;45;30;30;30;93;3
;85;4;82;194;42;26;30;34;100;2
;88;6;75;279;40;24;28;29;100;2
;65;47;51;120;86;50;9;10;70;2
;81;8;130;306;35;35;32;34;100;1
;80;32;105;404;57;26;35;36;100;0
;85;1;75;186;57;32;23;25;100;2
;84;3;104;249;45;30;37;38;100;2
;70;15;45;88;10;13;38;38;97;3
;80;41;92;219;88;20;18;20;100;5
;56;21;66;126;55;23;22;22;86;14
;64;30;58;110;74;4;42;46;89;2
;80;30;65;126;88;65;12;17;100;7
;63;0;166;327;27;13;14;16;94;5
;89;6;93;222;100;44;16;16;100;7
;80;34;120;256;45;6;17;17;100;0
;74;37;113;182;86;38;12;13;85;16
;82;24;62;186;67;30;23;23;100;3
;69;58;69;256;77;44;57;63;95;0
;77;31;103;258;83;33;26;27;100;8
